train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.99986,0.9538,0.0019224588818790968,0.20310322275966597,0.00014,0.0462
0.99982,0.954,0.00198627115629823,0.1995395817052407,0.00018,0.046
0.99992,0.9537,0.0019424650246453712,0.20116743628101744,8e-05,0.0463
0.99986,0.9536,0.0019616979314847982,0.20084285626935353,0.00014,0.0464
0.99984,0.9544,0.0019752483081329816,0.20048558681159262,0.00016,0.0456
0.99974,0.9528,0.0020396966973076696,0.20207689446248825,0.00026,0.0472
0.9999,0.9539,0.0017248632343452605,0.19824443529745575,0.0001,0.0461
0.99982,0.9539,0.0018790304622686733,0.19688270316951595,0.00018,0.0461
0.99976,0.9541,0.001991364066405674,0.20095917214728465,0.00024,0.0459
0.9998,0.9539,0.0021447495169118237,0.19690995127152486,0.0002,0.0461
0.99996,0.9544,0.0017878812311402977,0.1988088835718905,4e-05,0.0456
0.9998,0.9554,0.002058327945944903,0.19721071690226058,0.0002,0.0446
0.99978,0.9525,0.001993893643321893,0.20485015056884973,0.00022,0.0475
0.99988,0.9541,0.001662253147310308,0.20071079000640826,0.00012,0.0459
0.99982,0.9547,0.0019185706982603463,0.1988072447526227,0.00018,0.0453
0.99984,0.9548,0.0018669045137246246,0.20057845405142777,0.00016,0.0452
0.99982,0.9544,0.0018487586199170184,0.20236760069420384,0.00018,0.0456
0.99992,0.955,0.0018199355534427916,0.19528058232964984,8e-05,0.045
0.99974,0.9547,0.0020482771603576363,0.19591535264804105,0.00026,0.0453
0.99982,0.9552,0.001813290635947986,0.19647684354026607,0.00018,0.0448
0.99982,0.9538,0.0019289162391058318,0.2025424029891658,0.00018,0.0462
0.9999,0.9545,0.0017811917387844656,0.19846455525061127,0.0001,0.0455
0.99982,0.9539,0.0017789634816405718,0.20015849341537542,0.00018,0.0461
0.99988,0.9554,0.0016597092218335022,0.19479276975438853,0.00012,0.0446
0.99988,0.9543,0.0017115502234767465,0.1962588050989968,0.00012,0.0457
0.99988,0.9547,0.001725090948669502,0.19979995901987052,0.00012,0.0453
0.99986,0.9539,0.0017214911796933855,0.1983771279549143,0.00014,0.0461
0.99988,0.9548,0.001716478063208063,0.19533645271495648,0.00012,0.0452
0.99992,0.9545,0.001656269687978203,0.19352239306280566,8e-05,0.0455
0.99984,0.9553,0.001868569404077347,0.19826291651008235,0.00016,0.0447
0.99986,0.9547,0.00175603002290744,0.19908045654653744,0.00014,0.0453
