train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.84718,0.8587,0.45026900741221654,0.4199546992209307,0.15282,0.1413
0.84658,0.8591,0.4530268718710031,0.42376323281579714,0.15342,0.1409
0.84662,0.8415,0.44975509319235296,0.4698233550331395,0.15338,0.1585
0.84636,0.8457,0.44734421940258395,0.4548966597979236,0.15364,0.1543
0.8487,0.861,0.44559050862060484,0.41948555912941127,0.1513,0.139
0.8469,0.8608,0.4513685508152408,0.4347210490399865,0.1531,0.1392
0.84768,0.8639,0.44469630398103954,0.4191393292253944,0.15232,0.1361
0.84874,0.8649,0.44583345101693705,0.4034751231313511,0.15126,0.1351
0.84952,0.8436,0.4418838443163106,0.45224239169412356,0.15048,0.1564
0.84946,0.8427,0.44160873452415855,0.46815757064303015,0.15054,0.1573
0.84974,0.8677,0.43940468183944903,0.38836424318468493,0.15026,0.1323
0.84908,0.8627,0.4414129003768077,0.4237556074075638,0.15092,0.1373
0.85142,0.87,0.4347287039165302,0.41462214727690266,0.14858,0.13
0.85112,0.8652,0.4381393406473462,0.4077173423994878,0.14888,0.1348
0.85248,0.8531,0.43918653354620385,0.44114340813296615,0.14752,0.1469
0.85034,0.8721,0.43423859517821267,0.37975929867310126,0.14966,0.1279
0.85214,0.8525,0.43601395532755594,0.4309988950088525,0.14786,0.1475
0.8529,0.8669,0.4330713078379631,0.404905962241683,0.1471,0.1331
0.8545,0.8587,0.4290379950648074,0.4261404175287599,0.1455,0.1413
0.85228,0.8741,0.43603711845853443,0.3963613981843754,0.14772,0.1259
0.85494,0.852,0.42836938731734403,0.43976527936519333,0.14506,0.148
0.85274,0.8735,0.43092170123325285,0.39054586107184175,0.14726,0.1265
0.85354,0.8521,0.4287730513898003,0.43352187192364106,0.14646,0.1479
0.85386,0.8662,0.4275060974232986,0.40226452555626063,0.14614,0.1338
0.8534,0.8637,0.42695534736146706,0.413717835667027,0.1466,0.1363
0.85584,0.8496,0.423106862989533,0.44618820849877255,0.14416,0.1504
0.85364,0.8776,0.42955177869943095,0.37560908335029697,0.14636,0.1224
0.85484,0.8466,0.4230828050647855,0.450723284843621,0.14516,0.1534
0.85508,0.8714,0.42330865708687115,0.3909571445102145,0.14492,0.1286
0.8567,0.8739,0.4238290628585059,0.3802735018692199,0.1433,0.1261
0.85424,0.8714,0.42622096861338676,0.38452724979561603,0.14576,0.1286
0.85558,0.8738,0.42257868754856115,0.3907583217332318,0.14442,0.1262
0.85846,0.8551,0.41807449083117876,0.43484172405331,0.14154,0.1449
0.85674,0.8769,0.4230556551490903,0.3806766021973009,0.14326,0.1231
0.85606,0.8629,0.42443316075426846,0.4228153829551806,0.14394,0.1371
0.85786,0.855,0.42217397091486264,0.4364456765970607,0.14214,0.145
0.85872,0.8716,0.4160076221808448,0.3910608840216497,0.14128,0.1284
0.85708,0.8697,0.42123767649731064,0.40918627827410486,0.14292,0.1303
0.85806,0.8736,0.41904975228068775,0.3862068350337873,0.14194,0.1264
0.85692,0.8684,0.41796662788028305,0.3943204932911381,0.14308,0.1316
0.85718,0.8631,0.4249931021457743,0.4064747699696547,0.14282,0.1369
0.85816,0.8675,0.41635917866473915,0.3879828161684571,0.14184,0.1325
0.85668,0.8725,0.41634345054626465,0.3819923312610881,0.14332,0.1275
0.85728,0.8706,0.4165307865537646,0.4000195112008198,0.14272,0.1294
0.85894,0.8685,0.4168802763494994,0.4017113281093585,0.14106,0.1315
0.85672,0.8581,0.41859129616214186,0.420238861992101,0.14328,0.1419
0.85714,0.8784,0.41936229941104075,0.3767202810686865,0.14286,0.1216
0.85868,0.8677,0.4154358858152119,0.3987884874556475,0.14132,0.1323
0.85708,0.8759,0.4147117892494592,0.38925421949784467,0.14292,0.1241
0.8582,0.8717,0.4147692594267523,0.41003340188485043,0.1418,0.1283
0.85766,0.8518,0.4124787406962546,0.4366007462428634,0.14234,0.1482
0.85872,0.8596,0.4173123060780413,0.4126314368976909,0.14128,0.1404
0.86122,0.8693,0.41298562690348883,0.3860988866561537,0.13878,0.1307
0.85842,0.8776,0.4125915431153134,0.3818914866561343,0.14158,0.1224
0.85896,0.8831,0.4151763161239417,0.3738804225139557,0.14104,0.1169
0.8603,0.8682,0.406253317318609,0.42163954599268116,0.1397,0.1318
0.85882,0.8626,0.41609789373929545,0.422715431375868,0.14118,0.1374
0.86054,0.8699,0.4047477257907238,0.39450389554925785,0.13946,0.1301
0.8619,0.8774,0.4087735365914262,0.36870301576556674,0.1381,0.1226
0.86018,0.8751,0.4126388367141604,0.3893471779717002,0.13982,0.1249
0.86164,0.8776,0.4104109368170314,0.39419156901396,0.13836,0.1224
0.85966,0.8666,0.41043272957472543,0.40094262541859016,0.14034,0.1334
0.86248,0.8551,0.4080915510883112,0.4364326318168336,0.13752,0.1449
0.86098,0.8689,0.4102805167284158,0.3944393768432034,0.13902,0.1311
0.86178,0.866,0.4068183889588737,0.40086844734325533,0.13822,0.134
0.86284,0.8724,0.406656899853893,0.3835240890076206,0.13716,0.1276
0.86014,0.867,0.4165046037272419,0.4088735909788472,0.13986,0.133
0.86272,0.8636,0.4079608434568281,0.3977273951290519,0.13728,0.1364
0.8614,0.8732,0.40709197784171386,0.3796540013733943,0.1386,0.1268
0.86074,0.8448,0.4100231910529344,0.4523916066072549,0.13926,0.1552
0.86186,0.8414,0.40882604639700915,0.4607135543398037,0.13814,0.1586
0.8598,0.8615,0.40795635418666293,0.418086672000065,0.1402,0.1385
0.8632,0.8658,0.40487185791325386,0.3880285302734679,0.1368,0.1342
0.85964,0.8695,0.4095235447901899,0.40622958825652006,0.14036,0.1305
0.86138,0.8799,0.40705572373574345,0.37201883724540663,0.13862,0.1201
0.86206,0.8513,0.40567313805413063,0.44890390327022334,0.13794,0.1487
0.86104,0.8799,0.41062303783033816,0.3681819062134263,0.13896,0.1201
0.86468,0.8616,0.4009349825208449,0.40738549040760963,0.13532,0.1384
0.86142,0.8782,0.40997029874292784,0.38655696970641995,0.13858,0.1218
0.8622,0.8757,0.4074702308229778,0.3787451619934884,0.1378,0.1243
0.86212,0.8707,0.40742636653011105,0.3970797787995855,0.13788,0.1293
0.86182,0.8817,0.4056855822196397,0.37689781815383083,0.13818,0.1183
0.86346,0.8736,0.40439372867955575,0.3771036380225686,0.13654,0.1264
0.86288,0.8727,0.4032791170775128,0.38286658855760175,0.13712,0.1273
0.86078,0.8699,0.4089933672867468,0.39520366366501825,0.13922,0.1301
0.86234,0.8739,0.4043711067732338,0.3806794209844747,0.13766,0.1261
0.86442,0.8619,0.3986963076169229,0.4075466814883955,0.13558,0.1381
0.86216,0.876,0.40443704673625014,0.38725178627071866,0.13784,0.124
0.86146,0.865,0.4048967115828753,0.3997545943708177,0.13854,0.135
0.86406,0.8778,0.4013493520105281,0.3760893846962862,0.13594,0.1222
0.86264,0.8675,0.40518905443456166,0.41389868460643064,0.13736,0.1325
0.86332,0.8603,0.40335571609647075,0.41558329922378445,0.13668,0.1397
0.86384,0.8737,0.4010223547935181,0.3935007356154691,0.13616,0.1263
0.86146,0.8759,0.40716446854193195,0.3851393696608817,0.13854,0.1241
0.86214,0.8618,0.4038539898136388,0.39884507580167927,0.13786,0.1382
0.86438,0.8826,0.4031343788975645,0.37328572808557253,0.13562,0.1174
0.90402,0.904,0.2889854041454585,0.2922469609102626,0.09598,0.096
0.91618,0.9063,0.24771855180830601,0.2784789092126925,0.08382,0.0937
0.92232,0.906,0.23052986291573024,0.27607469811181357,0.07768,0.094
0.92516,0.9096,0.22280367734410877,0.2712869412105554,0.07484,0.0904
0.9288,0.9108,0.21187579848081864,0.26432647954696303,0.0712,0.0892
0.9325,0.9115,0.20420894183961633,0.26528709856378047,0.0675,0.0885
0.93422,0.9114,0.19496909358903117,0.26540992712708794,0.06578,0.0886
0.93694,0.91,0.18844418645457692,0.2669812863467226,0.06306,0.09
0.93624,0.9128,0.18748447316153274,0.2622606253168385,0.06376,0.0872
